Region,Year,Rate
Metro,2011,4.3
Metro,2012,4.1
Metro,2013,4.3
Metro,2014,4.5
Metro,2015,5.4
Metro,2016,5.9
Kimberley,2011,8.8
Kimberley,2012,5.9
Kimberley,2013,9
Kimberley,2014,14.6
Kimberley,2015,12.7
Kimberley,2016,14.5
Pilbara,2011,2.5
Pilbara,2012,1.5
Pilbara,2013,2.6
Pilbara,2014,4
Pilbara,2015,3.2
Pilbara,2016,2.9
Gascoyne,2011,7
Gascoyne,2012,4.1
Gascoyne,2013,6.2
Gascoyne,2014,10.2
Gascoyne,2015,8.8
Gascoyne,2016,8.5
Midwest,2011,5.1
Midwest,2012,3.1
Midwest,2013,5.1
Midwest,2014,7.7
Midwest,2015,7
Midwest,2016,7.3
Goldfields-Esperance,2011,4
Goldfields-Esperance,2012,2.4
Goldfields-Esperance,2013,3.9
Goldfields-Esperance,2014,6.2
Goldfields-Esperance,2015,5.3
Goldfields-Esperance,2016,5.9
Wheatbelt,2011,3.6
Wheatbelt,2012,3.5
Wheatbelt,2013,4.1
Wheatbelt,2014,4.6
Wheatbelt,2015,3.7
Wheatbelt,2016,6.1
Peel,2011,5.4
Peel,2012,4.2
Peel,2013,5.4
Peel,2014,6.2
Peel,2015,7.3
Peel,2016,8.5
Great Southern,2011,4
Great Southern,2012,3.7
Great Southern,2013,4.3
Great Southern,2014,4.8
Great Southern,2015,3.7
Great Southern,2016,6.1
South West,2011,4.9
South West,2012,5.2
South West,2013,5.9
South West,2014,3.9
South West,2015,4.3
South West,2016,4.4
Regional WA Average,2011,4.6
Regional WA Average,2012,3.8
Regional WA Average,2013,4.9
Regional WA Average,2014,5.7
Regional WA Average,2015,5.5
Regional WA Average,2016,5.7
